"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-mir-126" 30339.9933059514 0.00437582453767656 0.194645291004455 0.0224810192689245 0.982064252603449 0.990533988774485
"hsa-mir-1262" 2.93161372173116 0.465626060467091 0.276920730907492 1.68144168528371 0.0926771544091217 0.306365879862001
"hsa-mir-1266" 11.7200770909551 0.325544158655689 0.247681036583798 1.31436852471968 0.188722217280918 0.429591363021038
"hsa-mir-1269a" 216.962729273693 -0.873376880937087 0.813283001139662 -1.07389049041135 0.282871765965197 0.520604420340203
"hsa-mir-1269b" 7.81423506223597 0.603969338253215 1.03081474573672 0.585914530958284 0.557932951912379 0.769512268746733
"hsa-mir-127" 504.213569874344 -0.400914123049802 0.247935158957011 -1.61701198303753 0.105875694303606 0.32688235228013
"hsa-mir-1270" 46.4309996656009 0.50833420907954 0.293686962622058 1.7308708719689 0.0834747978426265 0.293130007554286
"hsa-mir-1271" 23.9433606296487 0.1731277177641 0.249226215896777 0.694660941430838 0.487267811085812 0.720490011263637
"hsa-mir-1277" 4.97893083888539 0.228789067077755 0.251239723526937 0.91064049850869 0.36248482463129 0.616818439290622
"hsa-mir-128-1" 133.553855791296 -0.0988364816518639 0.202803730052788 -0.487350413259842 0.626010027394058 0.8022202573272
"hsa-mir-128-2" 88.5688924529755 -0.175872599838436 0.205498250883619 -0.855835020892897 0.3920890410444 0.64601337238744
"hsa-mir-1287" 52.8493765402187 0.221335889496965 0.144215779315639 1.53475500772032 0.124844018317999 0.34835508337119
"hsa-mir-1288" 0.848998599490193 -0.325511019064851 0.455475124173342 -0.714662561771365 0.474817576682199 0.718082584822564
"hsa-mir-129-1" 4.67536622556725 -1.32218154630126 0.645126596040473 -2.04949161050913 0.0404140673693188 0.196027111819406
"hsa-mir-129-2" 4.94249975537195 -1.90239949894519 0.624280786485895 -3.04734590608479 0.00230871864446014 0.0342349993278518
"hsa-mir-1291" 2.21724635545709 -0.291389413404272 0.424189785583625 -0.686931706767436 0.492125765342138 0.724637908439913
"hsa-mir-1292" 0.873598993196019 0.42973726417109 0.365868404045584 1.17456784849218 0.240167652605884 0.485007827636007
"hsa-mir-1293" 1.60788604334757 -1.41012602960303 0.844764418927246 -1.66925357887792 0.0950671357955188 0.31031348099292
"hsa-mir-1295a" 1.91446722529704 1.43666225451501 0.361536574658287 3.97376740063685 7.07446524203012e-05 0.00282434420047203
"hsa-mir-1296" 10.099729912934 -0.0543624302105008 0.224744891871601 -0.241885053572468 0.808869231817721 0.892651262168703
"hsa-mir-1301" 27.6451611106807 0.420891202224762 0.15868668940661 2.65234093545359 0.0079935781812077 0.0702149137547067
"hsa-mir-1304" 0.916983961848177 -0.186151160073214 0.825516958037045 -0.225496470134125 0.821593071090757 0.892922606257758
"hsa-mir-1306" 14.9666524609047 -0.0957324830220857 0.164317184090556 -0.582607860230412 0.560157312806511 0.769512268746733
"hsa-mir-1307" 2386.21657525429 0.365335076370726 0.15412666916435 2.37035600880441 0.0177709644923659 0.116748488247315
"hsa-mir-130a" 219.784322617161 -0.260247410644754 0.168092628030927 -1.54823809760932 0.121564982044466 0.341970769746104
"hsa-mir-130b" 29.510321456154 -0.29209603053097 0.186231723471001 -1.56845474598453 0.116775043270336 0.341970769746104
"hsa-mir-132" 138.405721854479 -0.190899571751283 0.156328775468876 -1.22114160479233 0.222032409464095 0.464656534322038
"hsa-mir-133a-1" 8.88909865332403 -0.915494150710627 0.406926387215223 -2.24977828785142 0.0244630229538223 0.139519878165207
"hsa-mir-133a-2" 8.6611034456348 -0.909170755957026 0.385991967249574 -2.35541366944866 0.0185020956989513 0.118583065639039
"hsa-mir-133b" 1.68629302602584 -1.43910455364778 0.652407512028174 -2.20583688433317 0.0273954227224914 0.149665519926032
"hsa-mir-134" 264.101610563291 -0.372460714274465 0.26974907997091 -1.38076732018746 0.167350514638105 0.412570188782768
"hsa-mir-1343" 0.802619932956704 -0.170601978202445 0.467006341143665 -0.365309768138594 0.714880187624455 0.850969764626358
"hsa-mir-135a-1" 22.4439050467038 0.138095479172313 0.464099902866387 0.297555501131123 0.766042441801633 0.88427856095958
"hsa-mir-135a-2" 24.2843458156804 0.0150005374289535 0.4589897968958 0.0326816359108717 0.973928468488283 0.9891758809108
"hsa-mir-135b" 30.3614577210067 -0.22774712260254 0.415587491382219 -0.548012457846282 0.583683348793023 0.780751695937059
"hsa-mir-136" 37.5708034193813 -0.534027300911472 0.306218865953298 -1.74393990797718 0.0811695688052234 0.291030982015325
"hsa-mir-138-1" 3.98724310612068 -0.116100701901452 0.763267329529006 -0.152110142029916 0.879100065109429 0.933032584441296
"hsa-mir-138-2" 2.92222328777806 0.296363253494683 0.650317806867607 0.455720649757662 0.648590870862336 0.821021126774518
"hsa-mir-139" 357.163872509743 0.191718702781163 0.231234688537339 0.82910874658931 0.407042874857351 0.660172662659266
"hsa-mir-140" 3729.14662937433 0.103884563561532 0.179826705194377 0.577692637193359 0.563471650972389 0.769512268746733
"hsa-mir-141" 68.6060622556778 -2.98074476682185 0.563808130139615 -5.28680699599655 1.24469844061022e-07 1.29199698135341e-05
"hsa-mir-142" 7124.79306552212 -0.184642960436596 0.274760246952642 -0.672014829235545 0.501574255788533 0.733352245371863
"hsa-mir-143" 179393.378317212 -0.542565650834197 0.225434296916796 -2.40675734905788 0.0160948597720298 0.111376429622446
"hsa-mir-144" 953.700756100906 1.41678838628656 0.332521789074026 4.26073849245154 2.03752528075077e-05 0.00117497291189961
"hsa-mir-145" 6313.66519358391 -0.557199625200399 0.211040049879965 -2.64025537104129 0.00828435767227722 0.0704849447854406
"hsa-mir-1468" 30.2976450412665 0.153948774507438 0.220558597716729 0.697994891612251 0.485180388762319 0.720490011263637
"hsa-mir-146a" 233.290343797723 -0.157888191956932 0.23680321596985 -0.666748512304978 0.504932785668633 0.736123920679832
