baseMean log2FoldChange lfcSE stat pvalue padj
ATP6V0A4 1228.70943643122 -3.86961757534882 0.78872629753371 -4.90616020722123 9.28766717763106e-07 0.000410078937526629
ATP6V0D2 711.068734479506 -2.78270063084221 0.736049524267516 -3.78058885862529 0.000156457864762797 0.0127785655054619
ATP6V1B1 663.192871309608 -2.78622600738532 0.585115838950933 -4.76183658330084 1.91839005305852e-06 0.000693277990671673
ATP6V1C2 245.799923522688 -1.4123083446932 0.350556114084663 -4.02876540430874 5.60705359631775e-05 0.00638466339770182
ATP6V1G3 63.0605203537641 -4.26623288161521 1.24865490096084 -3.41666290528501 0.000633937227695734 0.0329693075028779
AVPR2 193.803412714319 -1.65983168163429 0.437689208422004 -3.79226092326667 0.00014928194276521 0.0124022620306926
B3GALT5 281.502637393033 -2.03545444886633 0.546778235893945 -3.72263253225231 0.000197156360358753 0.0146729815633739
B3GNT6 1.45499258166075 -2.58636850661835 0.663022797922867 -3.90087417012053 9.58459621005283e-05 0.00909109279860788
B4GALNT4 182.233680620839 -2.04001030310841 0.550340587122243 -3.70681419986797 0.000209882804755797 0.0152889376460999
BARX1 5.28768561080758 -2.09008335606434 0.598171953542659 -3.49411794332026 0.000475630842620613 0.0267279825457064
BCAS1 83.700436747538 -1.88407641670272 0.512156342359565 -3.67871343352415 0.000234413475180231 0.0165736455409291
BMPR1B-DT 4.0565128288522 -3.633151001704 1.07554867870511 -3.37795124817417 0.000730280263394478 0.0357457318971483
BNC1 34.6401530078374 -2.34254136486354 0.51178627107008 -4.57718680097765 4.71270606068942e-06 0.00127036767290283
BRINP2 12.75937151985 -2.13197604812205 0.574169211183859 -3.71314937581938 0.000204695986658476 0.0150121954961225
BRINP3 20.735060777349 -3.91006112960032 0.978499526346771 -3.99597651743229 6.44281205590651e-05 0.00707564664109326
BRS3 7.38118014381762 -2.41395531814289 0.712512885609314 -3.38794619283069 0.000704180772507793 0.0348992759126972
BSND 170.412221666313 -3.84508160056615 1.09035280456845 -3.52645637673944 0.00042116054044816 0.0242981554469225
C10orf71 4.88613100931581 -4.21330404209993 1.18797653497504 -3.54662227582506 0.000390203615968654 0.0229403674768528
C11orf16 10.8758396953426 -1.40285026144629 0.369571087883168 -3.79588746912412 0.000147116223772847 0.0123366647338199
C15orf56 20.0021245227186 -2.19960189341964 0.595988398363746 -3.69067904586486 0.000223656195951236 0.0159696429023267
C16orf89 313.801679442005 -2.01624842038688 0.502932184585503 -4.00898666298041 6.09798600864531e-05 0.00674299795739342
C1orf143 2.72786215081398 -1.72734950668734 0.509604120383022 -3.38959093460439 0.000699969889719181 0.0348992759126972
C1orf158 1.93396926086402 -2.35704435792049 0.715749111601399 -3.29311531054073 0.000990838289008491 0.0434049386848729
C1orf87 3.49581617530126 -2.70954479336931 0.6880869892074 -3.937793964816 8.223415675402e-05 0.00825316424484656
C4BPA 26.5250440835839 -3.09966087861252 0.578328726260265 -5.35968686642342 8.33663231870552e-08 6.44153715054264e-05
C6orf118 3.5118979752055 -2.27057335678282 0.689742319056492 -3.29191539224209 0.000995075432414232 0.0434918322833978
C8G 52.8001832764468 -1.18284751274017 0.345538878353919 -3.42319659765937 0.000618892984140245 0.0324207014815356
CA1 18.4264475217821 -2.00890848050453 0.487787169854904 -4.11841189078855 3.81492377272236e-05 0.00491284975136001
CACNA1G 8.89041682908973 -1.33275113680162 0.411189496555089 -3.24120909694265 0.00119023844861596 0.0490491596872503
CADM3 680.190205526713 -2.64991681042504 0.516182876470005 -5.13367825865688 2.84133660611546e-07 0.000170756437425856
CALB1 355.202116917527 -2.38492688752491 0.650184046110344 -3.66807967958069 0.00024437903305701 0.0169459627570142
CALCA 17.9563241589873 -2.86610046453074 0.823584703197707 -3.48003120189413 0.000501355390003804 0.0276704690375824
CAMK2A 29.2289088244763 -1.53682860688407 0.447145919222155 -3.4369733476658 0.00058825348525294 0.0313469560429738
CASC9 21.0670739234527 -4.00187238827496 0.909047601728903 -4.40226934284174 1.07124451853126e-05 0.00216601636994615
CCBE1 183.92601923937 -2.72200950517736 0.564282088210515 -4.8238453107905 1.40816644660861e-06 0.000574824171176931
CCDC146 1413.74039437133 -1.36894470179008 0.352525756016165 -3.8832473327915 0.000103070629669001 0.00965338992592571
CCDC78 123.000753754897 -1.65926546021264 0.431812715518751 -3.84255812897799 0.000121758564023192 0.0107520266638439
CCL13 40.822434182632 1.58483177877138 0.442677995105707 3.58010065170043 0.00034346188397493 0.0210106500043634
CCL7 6.86413119158822 -2.05795110808501 0.579362047657375 -3.55209858223583 0.00038217164818171 0.0225909388207959
CCNA1 27.7001470704438 -1.77025510313439 0.517987823684457 -3.41756122864536 0.00063184879963234 0.0329398765784233
CCNO 81.0288248853243 -1.8770356437062 0.547275797907803 -3.42978010517179 0.000604070580847509 0.0319537090871292
CDC20B 25.6004988995852 -1.62281142692465 0.410381009103312 -3.95440186296756 7.67263561099756e-05 0.00786800809628458
CDH10 7.20586092253884 -2.44812824198885 0.605450746981622 -4.04348042213773 5.26635555817819e-05 0.0062320816569597
CDH12 6.7146273279362 -1.87089451906348 0.556144309758209 -3.36404506211145 0.000768090010545864 0.0367646623410614
CDH17 62.0335682987098 -2.19930256615946 0.447526087265084 -4.91435612077904 8.90747112566077e-07 0.000401485703757648
CDH18 4.40532601724637 -2.58577954566388 0.761920447807713 -3.3937657836904 0.000689386257062135 0.0347666006329587
CDH19 13.0802097914168 -3.10892679071567 0.736563517390206 -4.22085362268719 2.43378941531949e-05 0.0037295436504681
CELF5 71.0527737096311 -1.80259754829956 0.540903046111009 -3.33257052490256 0.000860476586931404 0.0395252886587281
CES5A 5.84685785245386 -3.62457986928564 0.766365219628904 -4.72957250205165 2.24993097017995e-06 0.000762600014480008
CFAP47 44.802286033681 -2.69197056781737 0.606559169119564 -4.43810052649082 9.07562329610556e-06 0.00196351110011244
CHAC1 169.475643993816 -1.2424066609997 0.362198855743888 -3.43017831585369 0.000603184714117313 0.0319537090871292
