"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "regulation"
"29" "C16orf89" "311.444986185873" "-2.05471335693134" "0.48998880593443" "-4.1933883632564" "2.74818352201955e-05" "0.00405302105827444"
"30" "C1orf87" "3.46798943262038" "-2.64594415809665" "0.669692661372826" "-3.95098275778122" "7.78309322466548e-05" "0.00784427628452797"
"31" "CA1" "18.3095637553278" "-1.92335428132789" "0.475860824285497" "-4.04184203273258" "5.3032955449899e-05" "0.00598568898195238"
"32" "CADM3" "691.777895770931" "-2.07741090692166" "0.506941418859247" "-4.09793090411983" "4.16859666412797e-05" "0.00515152537982459"
"33" "CASC9" "21.667001999293" "-4.12061830978603" "0.890496219042649" "-4.62732824875552" "3.70413187079147e-06" "0.00101163957093394"
"34" "CCDC146" "1402.29735694067" "-1.39759770019842" "0.345084948685813" "-4.05001060034897" "5.12153129197857e-05" "0.00587038939073315"
"35" "CCL7" "7.46930652469362" "-2.26063485676426" "0.582272710853928" "-3.88243311875107" "0.000103416465258097" "0.00929058187587937"
"36" "CDC20B" "25.4279708440708" "-1.58582334113883" "0.401015272066463" "-3.95452106591092" "7.66881150944284e-05" "0.00778208478036213"
"37" "CDH10" "7.16961223071838" "-2.36292978267011" "0.586278319021828" "-4.03038916160591" "5.56845823756639e-05" "0.00620361366485989"
"38" "CDH17" "61.9243617758518" "-2.22168027301527" "0.435612362436674" "-5.10013136584994" "3.39417826065308e-07" "0.00018313661337114"
"39" "CDH19" "13.0425704564058" "-3.09061279650111" "0.714820350060509" "-4.32362172710877" "1.53488385179962e-05" "0.00277185810420771"
"40" "CES5A" "5.78836286124991" "-3.68308035810685" "0.755989851428958" "-4.87186481557281" "1.10549803442562e-06" "0.000444651409410246"
"41" "CFAP47" "44.6833713678658" "-2.43318500968782" "0.589567137552261" "-4.12707027699986" "3.67414137584373e-05" "0.00495605826319604"
"42" "CHL1" "857.347649440453" "-2.36543405225827" "0.472544346065372" "-5.00573982516983" "5.56478793442518e-07" "0.000267617910185552"
"43" "CHL1-AS2" "9.17581759726199" "-4.6140701472813" "1.00332999799137" "-4.59875629804602" "4.2502060860771e-06" "0.0011193221313833"
"44" "CHRNB4" "21.2577205581004" "-1.65972001370726" "0.40758279120545" "-4.07210522504775" "4.65901218373159e-05" "0.00555235510213142"
"45" "CLCNKB" "1153.60442928079" "-3.5223485173585" "0.682255046151686" "-5.16280317342699" "2.43278906832208e-07" "0.000141626736235318"
"46" "CLDN16" "282.825807890936" "-2.39281337013154" "0.612250287207075" "-3.90822743595095" "9.29757610528417e-05" "0.00869904413120922"
"47" "CLMP" "424.59086017717" "-2.27816588557063" "0.50336012176268" "-4.52591651001849" "6.01343187380313e-06" "0.00143210742812648"
"48" "CLSTN2" "947.573205657802" "-1.7547709413882" "0.411947034601174" "-4.25970038378132" "2.04701112419202e-05" "0.00330115026789686"
"49" "COL4A6" "155.57112243126" "-2.57818799081034" "0.530144083792047" "-4.86318355638135" "1.15512633262127e-06" "0.00045631615589728"
"50" "COL7A1" "515.209120113264" "-1.78468718451976" "0.429420182116416" "-4.15603937319352" "3.23812044149443e-05" "0.00453377850675569"
"51" "COLGALT2" "157.090994201247" "-1.49299022995425" "0.373556738859013" "-3.99668932359358" "6.42345125859619e-05" "0.00673457766552915"
"52" "CORO6" "125.436219573361" "-1.79694545701774" "0.419872630180627" "-4.27973944442319" "1.87112237009042e-05" "0.00311225331361957"
"53" "CPEB1" "128.295112656766" "-2.61418920505316" "0.520660905284687" "-5.02090550398396" "5.14284571088785e-07" "0.000258568256400593"
"54" "CPN2" "486.477993561345" "-3.75360402671379" "0.703510358617016" "-5.3355348371739" "9.52633358520235e-08" "7.10940123756402e-05"
"55" "CPNE7" "155.750973157167" "-1.68614529138038" "0.430706694464472" "-3.91483418542375" "9.04663575759499e-05" "0.00862470621851734"
"56" "CWH43" "177.430659593563" "-2.61104276640187" "0.608283370594163" "-4.29247763891924" "1.76690349501928e-05" "0.00305370618100128"
"57" "CYP26C1" "15.2880074781017" "-2.25277109854761" "0.482977284447478" "-4.66434172183637" "3.09606524135955e-06" "0.000925556152288594"
