"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-mir-1197" 0.0859659286006253 0.100482539974392 1.06402178223006 0.0944365441126521 0.924762387502989 0.999468981208449
"hsa-mir-1199" 0.00396811357167092 0.136054264540356 4.52180393843753 0.0300884926442361 0.97599647811693 0.999468981208449
"hsa-mir-1200" 0.000515537044449528 0.147819552786288 4.5218041108968 0.0326903928522838 0.973921485191319 0.999468981208449
"hsa-mir-1203" 0.00169281277189751 0.147045048430663 4.52180409950078 0.0325191107785711 0.974058075891284 0.999468981208449
"hsa-mir-1204" 0.00146287104892615 0.141549657398651 4.52180401881652 0.0313038019360465 0.975027258388915 0.999468981208449
"hsa-mir-122" 61.684226809502 0.186262867827724 0.249222406995704 0.747376088984384 0.454836574586962 0.999468981208449
"hsa-mir-1224" 0.592475349737173 -0.416676780015601 0.351417650544167 -1.18570248071029 0.235739814540888 0.999468981208449
"hsa-mir-1225" 0.320227913748052 0.097829065171624 0.516556905232306 0.189386811367139 0.849789660427655 0.999468981208449
"hsa-mir-1226" 2.25922265159937 0.0705525272912396 0.15892859205436 0.443925956803968 0.657096117310656 0.999468981208449
"hsa-mir-1227" 0.189483696797831 0.190385141728509 0.446631714602867 0.426268747838012 0.669912027760674 0.999468981208449
"hsa-mir-1228" 2.02911207631684 -0.0847146074444057 0.198520656349433 -0.426729434620105 0.669576408862933 0.999468981208449
"hsa-mir-1229" 2.12638643176814 -0.0564774669243745 0.19451013453151 -0.290357451350306 0.771542791081578 0.999468981208449
"hsa-mir-1231" 0.0475852650109726 0.176713855876877 1.48176985786223 0.119258638539067 0.905070451237812 0.999468981208449
"hsa-mir-1234" 0.0808112832867564 0.221641384861906 0.800233780831047 0.276970792999678 0.781802532943887 0.999468981208449
"hsa-mir-1236" 0.0644475146778037 0.112573510135113 1.12962074252124 0.0996560225017256 0.920617415625803 0.999468981208449
"hsa-mir-1237" 0.0725558220298586 0.178017667159822 0.982047691345518 0.181271916556229 0.85615414817896 0.999468981208449
"hsa-mir-1238" 0.0493062118691134 -0.038025713467316 1.26814347449535 -0.0299853401701634 0.976078744763837 0.999468981208449
"hsa-mir-124-1" 0.404358300119992 -0.127714660797327 0.384291756424796 -0.3323377581281 0.739634231705526 0.999468981208449
"hsa-mir-124-2" 0.353822278436379 -0.0526576074526149 0.427733448341867 -0.123108463125213 0.902021209657205 0.999468981208449
"hsa-mir-124-3" 0.372251731967849 -0.275888995101338 0.396978155344061 -0.694972736880761 0.487072387235934 0.999468981208449
"hsa-mir-1243" 0.0924457222647316 0.119202437669573 0.794952510549653 0.149949130404221 0.880804749420831 0.999468981208449
"hsa-mir-1244-1" 0.00338776575718053 0.147045048407358 4.52180409950078 0.0325191107734172 0.974058075895394 0.999468981208449
"hsa-mir-1244-2" 0.000850657721764659 0.147045048452381 4.52180409950078 0.0325191107833741 0.974058075887454 0.999468981208449
"hsa-mir-1245a" 1.15303300185311 -0.0119702042439588 0.262907570156478 -0.0455300858656687 0.96368479470416 0.999468981208449
"hsa-mir-1245b" 0.0405430257440493 0.127161060747024 1.36945296139545 0.0928553695027604 0.926018462473677 0.999468981208449
